title,url
Cracking the Vault: How we found zero-day flaws in HashiCorp Vault,https://cyata.ai/blog/cracking-the-vault-how-we-found-zero-day-flaws-in-authentication-identity-and-authorization-in-hashicorp-vault/
"40 Years of the Amiga, from Commodore – By Paul Lefebvre",https://www.goto10retro.com/p/40-years-of-the-amiga-from-commodore
Running GPT-OSS-120B at 500 tokens per second on Nvidia GPUs,https://www.baseten.co/blog/sota-performance-for-gpt-oss-120b-on-nvidia-gpus/
Claude Code IDE integration for Emacs,https://github.com/manzaltu/claude-code-ide.el
We replaced passwords with something worse,https://blog.danielh.cc/blog/passwords
Rules by which a great empire may be reduced to a small one (1773),https://founders.archives.gov/documents/Franklin/01-20-02-0213
Project Hyperion: Interstellar ship design competition,https://www.projecthyperion.org
Herbie detects inaccurate expressions and finds more accurate replacements,https://herbie.uwplse.org/
Debounce,https://developer.mozilla.org/en-US/docs/Glossary/Debounce
A candidate giant planet imaged in the habitable zone of α  Cen A,https://arxiv.org/abs/2508.03814
Litestar is worth a look,https://www.b-list.org/weblog/2025/aug/06/litestar/
"Show HN: Kitten TTS – 25MB CPU-Only, Open-Source TTS Model",https://github.com/KittenML/KittenTTS
"Jules, our asynchronous coding agent",https://blog.google/technology/google-labs/jules-now-available/
Writing a Rust GPU kernel driver: a brief introduction on how GPU drivers work,https://www.collabora.com/news-and-blog/blog/2025/08/06/writing-a-rust-gpu-kernel-driver-a-brief-introduction-on-how-gpu-drivers-work/
We'd be better off with 9-bit bytes,https://pavpanchekha.com/blog/9bit.html
Mac history echoes in current Mac operating systems,http://tenfourfox.blogspot.com/2025/08/mac-history-echoes-in-mac-operating.html
"A fast, growable array with stable pointers in C",https://danielchasehooper.com/posts/segment_array/
Show HN: Rust framework for advanced file recognition and identification,https://crates.io/crates/magical_rs
The Bluesky Dictionary,https://www.avibagla.com/blueskydictionary/
What is the average length of a queue of cars? (2023),https://e-dorigatti.github.io/math/2023/11/01/queue-length.html
